Task,Model,Test RMSE,Test MAE,Test R^2
crash_rate_next_year,RandomForestRegressor,0.806121675961772,0.553184307047793,0.5457642105847678
crash_rate_next_year,HistGradientBoostingRegressor,0.8745718082770719,0.594529115517962,0.4653481193663934
crash_rate_next_year,ElasticNet,1.486187049842177,1.1717342301913545,-0.543928188771742
crash_rate_next_year,MLPRegressor,1.5029031634770909,1.294383229267619,-0.5788546422572218
teen_current_use_next_wave,ElasticNet,5.61913819844923,4.671740479000884,-1.228942526269727
teen_current_use_next_wave,RandomForestRegressor,5.925296096018056,4.439818742745942,-1.4784465573608894
teen_current_use_next_wave,HistGradientBoostingRegressor,7.041635652784329,5.9253545516241255,-2.500310282255854
teen_current_use_next_wave,MLPRegressor,16.944834798771698,16.51656131349821,-19.26908396308686
