Outcome,Rows Used,R^2,Pretrend p-value,Placebo Mean,Placebo SD
rate_impaired_per100k,1048.0,0.7758411155961298,0.12459016432638,0.2855172277001296,0.4016434482502676
rate_alcohol_involved_per100k,1048.0,0.8730119639100861,0.2030903931347211,0.2800836934918459,0.1141376493425689
