state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita,beer_tax_delta,beer_tax_increase_event,rate_impaired_per100k_lag1,rate_impaired_per100k_lag2,rate_alcohol_involved_per100k_lag1,rate_alcohol_involved_per100k_lag2,beer_tax_usd_per_gallon_lag1,beer_tax_usd_per_gallon_lag2,unemployment_rate_lag1,unemployment_rate_lag2,pcpi_nominal_lag1,pcpi_nominal_lag2,vmt_per_capita_lag1,vmt_per_capita_lag2,treatment_year,event_time
02,AK,Alaska,2003,1.07,0,0,98,29,53,4.472451242570333,8.173790201938886,7.675,36045.0,648.414,4915.573828618918,7580.9187164665145,,0,,,,,,,,,,,,,,
02,AK,Alaska,2004,1.07,0,3,101,30,67,4.550377226272058,10.162509138674263,7.416666666666667,37054.0,659.286,5042.396140564079,7648.268187954968,0.0,0,8.173790201938886,,4.472451242570333,,1.07,,7.675,,36045.0,,7580.9187164665145,,,
02,AK,Alaska,2005,1.07,0,0,73,32,34,4.79798964233986,5.097863994986101,6.925,39013.0,666.946,5084.301179508624,7623.257624318347,0.0,0,10.162509138674263,8.173790201938886,4.550377226272058,4.472451242570333,1.07,1.07,7.416666666666667,7.675,37054.0,36045.0,7648.268187954968,7580.9187164665145,,
02,AK,Alaska,2006,1.07,0,0,74,25,45,3.702047380283192,6.663685284509746,6.616666666666667,41013.0,675.302,5126.289555719628,7591.106728129975,0.0,0,5.097863994986101,10.162509138674263,4.79798964233986,4.550377226272058,1.07,1.07,6.925,7.416666666666667,39013.0,37054.0,7623.257624318347,7648.268187954968,,
02,AK,Alaska,2007,1.07,0,0,82,29,44,4.26282522416581,6.467734822872262,6.25,43747.0,680.3,5153.0,7574.599441422902,0.0,0,6.663685284509746,5.097863994986101,3.702047380283192,4.79798964233986,1.07,1.07,6.616666666666667,6.925,41013.0,39013.0,7591.106728129975,7623.257624318347,,
02,AK,Alaska,2008,1.07,0,0,62,27,13,3.927529801950673,1.8910328676058796,6.508333333333333,47800.0,687.455,4865.0,7076.826846848157,0.0,0,6.467734822872262,6.663685284509746,4.26282522416581,3.702047380283192,1.07,1.07,6.25,6.616666666666667,43747.0,41013.0,7574.599441422902,7591.106728129975,,
02,AK,Alaska,2009,1.07,0,0,64,27,12,3.8632412594166508,1.7169961152962891,7.833333333333333,47211.0,698.895,4933.0,7058.284863963829,0.0,0,1.8910328676058796,6.467734822872262,3.927529801950673,4.26282522416581,1.07,1.07,6.508333333333333,6.25,47800.0,43747.0,7076.826846848157,7574.599441422902,,
02,AK,Alaska,2010,1.07,0,0,56,19,12,2.6611315131193782,1.6807146398648705,7.991666666666667,49543.0,713.982,4798.0,6720.057368393041,0.0,0,1.7169961152962891,1.8910328676058796,3.8632412594166508,3.927529801950673,1.07,1.07,7.833333333333333,6.508333333333333,47211.0,47800.0,7058.284863963829,7076.826846848157,,
02,AK,Alaska,2011,1.07,0,0,72,23,19,3.184056460242902,2.6303075106354408,7.608333333333333,52415.0,722.349,4593.0,6358.422313867673,0.0,0,1.6807146398648705,1.7169961152962891,2.6611315131193782,3.8632412594166508,1.07,1.07,7.991666666666667,7.833333333333333,49543.0,47211.0,6720.057368393041,7058.284863963829,,
02,AK,Alaska,2012,1.07,0,0,59,17,22,2.3261860127803398,3.0103583694804392,7.133333333333333,53340.0,730.81,4792.0,6557.107866613757,0.0,0,2.6303075106354408,1.6807146398648705,3.184056460242902,2.6611315131193782,1.07,1.07,7.608333333333333,7.991666666666667,52415.0,49543.0,6358.422313867673,6720.057368393041,,
02,AK,Alaska,2013,1.07,0,0,51,16,19,2.1691209366264204,2.575831112243874,6.925000000000001,52252.0,737.626,4848.0,6572.436437978054,0.0,0,3.0103583694804392,2.6303075106354408,2.3261860127803398,3.184056460242902,1.07,1.07,7.133333333333333,7.608333333333333,53340.0,52415.0,6557.107866613757,6358.422313867673,,
02,AK,Alaska,2014,1.07,0,0,73,28,20,3.79879930807584,2.7134280771970287,6.741666666666667,55098.0,737.075,4857.0,6589.560085472985,0.0,0,2.575831112243874,3.0103583694804392,2.1691209366264204,2.3261860127803398,1.07,1.07,6.925000000000001,7.133333333333333,52252.0,53340.0,6572.436437978054,6557.107866613757,,
02,AK,Alaska,2015,1.07,0,0,65,24,21,3.250138808011592,2.843871457010143,6.283333333333334,56714.0,738.43,5045.0,6832.062619341034,0.0,0,2.7134280771970287,2.575831112243874,3.79879930807584,2.1691209366264204,1.07,1.07,6.741666666666667,6.925000000000001,55098.0,52252.0,6589.560085472985,6572.436437978054,,
02,AK,Alaska,2016,1.07,0,0,84,39,28,5.251994748005252,3.7706628960037705,6.625,55536.0,742.575,5259.0,7082.112917887082,0.0,0,2.843871457010143,2.7134280771970287,3.250138808011592,3.79879930807584,1.07,1.07,6.283333333333334,6.741666666666667,56714.0,55098.0,6832.062619341034,6589.560085472985,,
02,AK,Alaska,2017,1.07,0,0,79,22,19,2.9690289790723945,2.564161391017068,6.608333333333333,56500.0,740.983,5519.0,7448.214061591157,0.0,0,3.7706628960037705,2.843871457010143,5.251994748005252,3.250138808011592,1.07,1.07,6.625,6.283333333333334,55536.0,56714.0,7082.112917887082,6832.062619341034,,
02,AK,Alaska,2018,1.07,0,0,80,32,19,4.344143009187862,2.5793349117052933,6.091666666666666,58997.0,736.624,5487.0,7448.847716066813,0.0,0,2.564161391017068,3.7706628960037705,2.9690289790723945,5.251994748005252,1.07,1.07,6.608333333333333,6.625,56500.0,55536.0,7448.214061591157,7082.112917887082,,
02,AK,Alaska,2019,1.07,0,0,67,25,20,3.4078377542076574,2.7262702033661257,5.6000000000000005,60504.0,733.603,5881.0,8016.597532998093,0.0,0,2.5793349117052933,2.564161391017068,4.344143009187862,2.9690289790723945,1.07,1.07,6.091666666666666,6.608333333333333,58997.0,56500.0,7448.847716066813,7448.214061591157,,
02,AK,Alaska,2020,1.07,0,0,64,20,12,2.7284496812488657,1.6370698087493194,8.283333333333333,61853.0,733.017,5306.0,7238.577004353241,0.0,0,2.7262702033661257,2.5793349117052933,3.4078377542076574,4.344143009187862,1.07,1.07,5.6000000000000005,6.091666666666666,60504.0,58997.0,8016.597532998093,7448.847716066813,,
02,AK,Alaska,2021,1.07,0,0,70,29,20,3.948694207674083,2.723237384602816,6.3999999999999995,65608.0,734.42,5752.0,7832.030718117699,0.0,0,1.6370698087493194,2.7262702033661257,2.7284496812488657,3.4078377542076574,1.07,1.07,8.283333333333333,5.6000000000000005,61853.0,60504.0,7238.577004353241,8016.597532998093,,
02,AK,Alaska,2022,1.07,0,0,82,21,18,2.859313601346328,2.4508402297254244,4.258333333333334,68905.0,734.442,5478.0,7458.7237657977075,0.0,0,2.723237384602816,1.6370698087493194,3.948694207674083,2.7284496812488657,1.07,1.07,6.3999999999999995,8.283333333333333,65608.0,61853.0,7832.030718117699,7238.577004353241,,
02,AK,Alaska,2023,1.07,0,0,60,17,12,2.3081831882798602,1.6293057799622546,4.241666666666666,71309.0,736.51,5617.0,7626.508805039986,0.0,0,2.4508402297254244,2.723237384602816,2.859313601346328,3.948694207674083,1.07,1.07,4.258333333333334,6.3999999999999995,68905.0,65608.0,7458.7237657977075,7832.030718117699,,
01,AL,Alabama,2003,1.05,0,0,1004,311,738,6.90575378078917,16.387287106824463,5.95,26700.0,4503.491,58580.514033667336,13007.800844648593,,0,,,,,,,,,,,,,,
