state_abbrev,state_name,year,beer_tax_usd_per_gallon
WI,Wisconsin,2023,0.06
WY,Wyoming,2003,0.02
WY,Wyoming,2004,0.02
WY,Wyoming,2005,0.02
WY,Wyoming,2006,0.02
WY,Wyoming,2007,0.02
WY,Wyoming,2008,0.02
WY,Wyoming,2009,0.02
WY,Wyoming,2010,0.02
WY,Wyoming,2011,0.02
WY,Wyoming,2012,0.02
WY,Wyoming,2013,0.02
WY,Wyoming,2014,0.02
WY,Wyoming,2015,0.02
WY,Wyoming,2016,0.02
WY,Wyoming,2017,0.02
WY,Wyoming,2018,0.02
WY,Wyoming,2019,0.02
WY,Wyoming,2020,0.02
WY,Wyoming,2021,0.02
WY,Wyoming,2022,0.02
WY,Wyoming,2023,0.02
