state_abbrev,year,vmt_total_million
ID,2005,15571.59736367264
ID,2006,15700.194404883985
ID,2007,15782.0
ID,2008,15251.0
ID,2009,15531.0
ID,2010,15801.0
ID,2011,15937.0
ID,2012,16315.0
ID,2013,15980.0
ID,2014,16154.0
ID,2015,16662.0
ID,2016,17199.0
ID,2017,17300.0
ID,2018,17709.0
ID,2019,18058.0
ID,2020,17406.0
ID,2021,19308.0
ID,2022,19157.0
ID,2023,19718.0
IL,2003,102530.6853913152
IL,2004,105175.98765306597
IL,2005,106050.05699148563
IL,2006,106925.86460652296
IL,2007,107483.0
IL,2008,106079.0
IL,2009,105846.0
IL,2010,105788.0
IL,2011,103234.0
IL,2012,104578.0
IL,2013,105297.0
IL,2014,104906.0
IL,2015,105223.0
IL,2016,107314.0
IL,2017,108011.0
IL,2018,107954.0
IL,2019,107525.0
IL,2020,94121.0
IL,2021,97530.0
IL,2022,103752.0
IL,2023,102871.0
IN,2010,75761.0
IN,2011,76485.0
IN,2012,78923.0
IN,2013,78311.0
IN,2014,79204.0
IN,2015,78819.0
IN,2016,83183.0
IN,2017,81752.0
IN,2018,81529.0
IN,2019,82719.0
IN,2020,76608.0
IN,2021,78640.0
IN,2022,95684.0
IN,2023,85209.0
KS,2003,28663.528508119787
KS,2004,29403.050501003196
KS,2005,29647.405752353025
KS,2006,29892.246957163476
KS,2007,30048.0
KS,2008,29727.0
KS,2009,29497.0
KS,2010,29900.0
KS,2011,30021.0
KS,2012,30572.0
KS,2013,30208.0
KS,2014,30710.0
KS,2015,31379.0
KS,2016,32103.0
KS,2017,32258.0
KS,2018,32190.0
KS,2019,31843.0
KS,2020,27854.0
KS,2021,31693.0
KS,2022,31334.0
KS,2023,31828.0
KY,2003,45848.48145253465
KY,2004,47031.3770044501
KY,2005,47422.23318275238
KY,2006,47813.86666341015
KY,2007,48063.0
KY,2008,47534.0
KY,2009,47355.0
KY,2010,48007.0
KY,2011,48061.0
KY,2012,47344.0
KY,2013,46996.0
KY,2014,47941.0
KY,2015,48675.0
KY,2016,49313.0
KY,2017,49239.0
KY,2018,49544.0
KY,2019,49410.0
KY,2020,46536.0
KY,2021,48111.0
KY,2022,48047.0
KY,2023,48993.0
LA,2003,43285.285862102086
LA,2004,44402.050703325374
LA,2005,44771.055758079434
LA,2006,45140.794659486484
LA,2007,45376.0
LA,2008,45091.0
LA,2009,44863.0
LA,2010,45439.0
LA,2011,46513.0
LA,2012,46889.0
LA,2013,47758.0
LA,2014,48252.0
LA,2015,48180.0
LA,2016,49156.0
LA,2017,49221.0
LA,2018,50045.0
LA,2019,51360.0
LA,2020,48374.0
LA,2021,54728.0
LA,2022,56514.0
LA,2023,55560.0
MA,2003,52533.58554548272
MA,2004,53888.95747273519
MA,2005,54336.803853428966
MA,2006,54785.540873866805
MA,2007,55071.0
MA,2008,54505.0
MA,2009,54812.0
MA,2010,54362.0
MA,2011,54792.0
MA,2012,55940.0
MA,2013,56311.0
MA,2014,57552.0
MA,2015,59257.0
MA,2016,61825.0
MA,2017,62660.0
MA,2019,64890.0
MA,2020,54127.0
MA,2021,59115.0
MA,2022,56949.0
MA,2023,60748.0
MD,2003,53899.60567406457
MD,2004,55290.221061574266
MD,2005,55749.712700519274
MD,2006,56210.11813833226
MD,2007,56503.0
MD,2008,55023.0
MD,2009,55293.0
MD,2010,56126.0
MD,2011,56221.0
MD,2012,56476.0
MD,2013,56688.0
MD,2014,56432.0
MD,2015,57516.0
MD,2016,59137.0
MD,2017,60045.0
MD,2018,59775.0
MD,2019,60216.0
MD,2020,50885.0
MD,2021,56601.0
MD,2022,56746.0
MD,2023,57356.0
ME,2003,14342.257425438665
ME,2004,14712.289146784578
ME,2005,14834.55622625891
ME,2006,14957.06646036185
ME,2007,15035.0
ME,2008,14559.0
ME,2009,14491.0
ME,2010,14549.0
ME,2011,14248.0
ME,2012,14199.0
ME,2013,14129.0
ME,2014,14301.0
ME,2015,14629.0
ME,2016,14838.0
ME,2017,14738.0
ME,2018,14784.0
ME,2019,14871.0
ME,2020,13086.0
ME,2021,14560.0
ME,2022,14651.0
ME,2023,14888.0
MI,2003,99793.8755107975
MI,2004,102368.5677952592
MI,2005,103219.30595635848
MI,2006,104071.73599496472
MI,2007,104614.0
MI,2008,101825.0
MI,2009,96769.0
MI,2010,97567.0
MI,2011,94754.0
MI,2012,94548.0
MI,2013,95132.0
MI,2014,97384.0
MI,2015,97843.0
MI,2016,99433.0
MI,2017,101757.0
MI,2018,102398.0
MI,2019,102174.0
MI,2020,86547.0
MI,2021,96744.0
MI,2022,95901.0
MI,2023,98289.0
MN,2010,56632.0
MN,2011,56685.0
MN,2012,56988.0
MN,2013,56974.0
MN,2014,57395.0
MN,2015,57395.0
MN,2016,59029.0
MN,2017,59971.0
MN,2018,60438.0
MN,2019,60731.0
MN,2020,51619.0
MN,2021,57171.0
MN,2022,57471.0
MN,2023,58046.0
MO,2003,65964.84491030988
MO,2004,67666.74471495181
MO,2005,68229.0919588979
MO,2006,68792.55755240987
MO,2007,69151.0
MO,2008,68273.0
MO,2009,69003.0
MO,2010,70864.0
