topic_key,state_name,state_abbrev,effective_date,year,change_text
underage_purchase,Alaska,AK,9/27/2004,2004,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B107%5D=107 ""View - Topic Details"")"
underage_purchase,Arkansas,AR,8/1/2017,2017,"Other provision changed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B109%5D=109 ""View - Topic Details"")"
underage_purchase,Indiana,IN,7/1/2008,2008,"Law enforcement exception established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B120%5D=120 ""View - Topic Details"")"
underage_purchase,Missouri,MO,8/30/2006,2006,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B131%5D=131 ""View - Topic Details"")"
underage_purchase,Ohio,OH,4/7/2004,2004,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B141%5D=141 ""View - Topic Details"")"
underage_purchase,Oklahoma,OK,10/1/2018,2018,"Prohibition on purchase repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B142%5D=142 ""View - Topic Details"")"
underage_purchase,Oklahoma,OK,11/1/2015,2015,"Prohibition on purchase adopted * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B142%5D=142 ""View - Topic Details"")"
underage_purchase,Pennsylvania,PA,12/31/2022,2022,"Allowance for law enforcement purchase eliminated * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B144%5D=144 ""View - Topic Details"")"
underage_purchase,Pennsylvania,PA,2/1/2003,2003,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B144%5D=144 ""View - Topic Details"")"
underage_purchase,Rhode Island,RI,7/15/2003,2003,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B145%5D=145 ""View - Topic Details"")"
underage_purchase,South Carolina,SC,7/1/2007,2007,"Allowance for law enforcement purchase established * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B146%5D=146 ""View - Topic Details"")"
underage_purchase,Wisconsin,WI,12/14/2013,2013,"Law enforcement exception created * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/underage-purchase-of-alcohol/43/changes-over-time?jr%5B155%5D=155 ""View - Topic Details"")"
underage_purchase,Alaska,AK,9/27/2004,2004,Allowance for law enforcement purchase established
underage_purchase,Arkansas,AR,8/1/2017,2017,Policy change
underage_purchase,Indiana,IN,7/1/2008,2008,Policy change
underage_purchase,Missouri,MO,8/30/2006,2006,Policy change
underage_purchase,Ohio,OH,4/7/2004,2004,Policy change
underage_purchase,Oklahoma,OK,10/1/2018,2018,Prohibition on purchase repealed
underage_purchase,Oklahoma,OK,11/1/2015,2015,Prohibition on purchase adopted
underage_purchase,Pennsylvania,PA,12/31/2022,2022,Policy change
underage_purchase,Pennsylvania,PA,2/1/2003,2003,Policy change
underage_purchase,Rhode Island,RI,7/15/2003,2003,Policy change
underage_purchase,South Carolina,SC,7/1/2007,2007,Policy change
underage_purchase,Wisconsin,WI,12/14/2013,2013,Policy change
underage_purchase,Alaska,AK,9/27/2004,2004,Allowance for law enforcement purchase established
underage_purchase,Arkansas,AR,8/1/2017,2017,Policy change
underage_purchase,Indiana,IN,7/1/2008,2008,Policy change
underage_purchase,Missouri,MO,8/30/2006,2006,Policy change
underage_purchase,Ohio,OH,4/7/2004,2004,Policy change
underage_purchase,Oklahoma,OK,10/1/2018,2018,Prohibition on purchase repealed
underage_purchase,Oklahoma,OK,11/1/2015,2015,Prohibition on purchase adopted
underage_purchase,Pennsylvania,PA,12/31/2022,2022,Policy change
underage_purchase,Pennsylvania,PA,2/1/2003,2003,Policy change
underage_purchase,Rhode Island,RI,7/15/2003,2003,Policy change
underage_purchase,South Carolina,SC,7/1/2007,2007,Policy change
underage_purchase,Wisconsin,WI,12/14/2013,2013,Policy change
beer_tax,Arkansas,AR,7/1/2007,2007,"Ad valorem off-site tax decreased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B109%5D=109 ""View - Topic Details"")"
beer_tax,Connecticut,CT,7/1/2023,2023,"Specific excise tax rate decreased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B112%5D=112 ""View - Topic Details"")"
beer_tax,Connecticut,CT,5/4/2011,2011,"Specific excise tax rate increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B112%5D=112 ""View - Topic Details"")"
beer_tax,Delaware,DE,9/1/2017,2017,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B113%5D=113 ""View - Topic Details"")"
beer_tax,District of Columbia,DC,10/30/2018,2018,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B114%5D=114 ""View - Topic Details"")"
beer_tax,District of Columbia,DC,10/1/2013,2013,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B114%5D=114 ""View - Topic Details"")"
beer_tax,District of Columbia,DC,7/1/2011,2011,"Ad valorem off-site tax increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B114%5D=114 ""View - Topic Details"")"
beer_tax,District of Columbia,DC,10/1/2009,2009,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B114%5D=114 ""View - Topic Details"")"
beer_tax,Illinois,IL,9/1/2009,2009,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B119%5D=119 ""View - Topic Details"")"
beer_tax,Kansas,KS,7/1/2015,2015,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B122%5D=122 ""View - Topic Details"")"
beer_tax,Kansas,KS,7/1/2013,2013,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B122%5D=122 ""View - Topic Details"")"
beer_tax,Kansas,KS,7/1/2010,2010,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B122%5D=122 ""View - Topic Details"")"
