state_abbrev,year,teen_current_alcohol_use_pct,teen_binge_pct,teen_source,coverage_flag
IN,2003,44.8895,,YRBS_Socrata,observed
IN,2005,41.4365,,YRBS_Socrata,observed
IN,2007,43.8685,,YRBS_Socrata,observed
IN,2009,38.5424,,YRBS_Socrata,observed
IN,2011,33.4467,,YRBS_Socrata,observed
IN,2015,30.5356,,YRBS_Socrata,observed
IN,2019,,,YRBS_Explorer,missing_no_state_data
IN,2021,,,YRBS_Explorer,missing_no_state_data
IN,2023,,,YRBS_Explorer,missing_no_state_data
KS,2005,43.9026,,YRBS_Socrata,observed
KS,2007,42.4212,,YRBS_Socrata,observed
KS,2009,38.7284,,YRBS_Socrata,observed
KS,2011,32.6178,,YRBS_Socrata,observed
KS,2013,27.5989,,YRBS_Socrata,observed
KS,2017,29.899,16.0814,YRBS_Socrata,observed
KS,2019,,,YRBS_Explorer,missing_no_state_data
KS,2021,,,YRBS_Explorer,missing_no_state_data
KS,2023,,,YRBS_Explorer,missing_no_state_data
KY,1997,49.2964,,YRBS_Socrata,observed
KY,2003,45.1496,,YRBS_Socrata,observed
KY,2005,37.4126,,YRBS_Socrata,observed
KY,2007,40.634,,YRBS_Socrata,observed
KY,2009,37.7651,,YRBS_Socrata,observed
KY,2011,34.5504,,YRBS_Socrata,observed
KY,2013,30.3696,,YRBS_Socrata,observed
KY,2015,28.4817,,YRBS_Socrata,observed
KY,2017,26.6084,13.1534,YRBS_Socrata,observed
KY,2019,,,YRBS_Explorer,missing_no_state_data
KY,2021,,,YRBS_Explorer,missing_no_state_data
KY,2023,,,YRBS_Explorer,missing_no_state_data
LA,1997,54.9087,,YRBS_Socrata,observed
LA,2007,45.0512,,YRBS_Socrata,observed
LA,2009,47.4517,,YRBS_Socrata,observed
LA,2011,44.387,,YRBS_Socrata,observed
LA,2013,38.578,,YRBS_Socrata,observed
LA,2017,33.9503,13.0024,YRBS_Socrata,observed
LA,2019,,,YRBS_Explorer,missing_no_state_data
LA,2021,,,YRBS_Explorer,missing_no_state_data
