state_abbrev,year,teen_current_alcohol_use_pct,teen_binge_pct,teen_source,coverage_flag
ND,2011,38.7906,,YRBS_Socrata,observed
ND,2013,35.2964,,YRBS_Socrata,observed
ND,2015,30.7581,,YRBS_Socrata,observed
ND,2017,29.1302,16.3659,YRBS_Socrata,observed
ND,2019,,,YRBS_Explorer,missing_no_state_data
ND,2021,,,YRBS_Explorer,missing_no_state_data
ND,2023,,,YRBS_Explorer,missing_no_state_data
NE,1991,53.4082,,YRBS_Socrata,observed
NE,1993,51.8549,,YRBS_Socrata,observed
NE,2003,46.5059,,YRBS_Socrata,observed
NE,2005,42.8922,,YRBS_Socrata,observed
NE,2011,26.5838,,YRBS_Socrata,observed
NE,2013,22.1052,,YRBS_Socrata,observed
NE,2015,22.7118,,YRBS_Socrata,observed
NE,2017,24.3711,10.5418,YRBS_Socrata,observed
NE,2019,,,YRBS_Explorer,missing_no_state_data
NE,2021,,,YRBS_Explorer,missing_no_state_data
NE,2023,,,YRBS_Explorer,missing_no_state_data
NH,1993,49.4775,,YRBS_Socrata,observed
NH,1995,53.1001,,YRBS_Socrata,observed
NH,2003,47.0802,,YRBS_Socrata,observed
NH,2005,44.0413,,YRBS_Socrata,observed
NH,2007,44.7921,,YRBS_Socrata,observed
NH,2009,39.3085,,YRBS_Socrata,observed
NH,2011,38.3698,,YRBS_Socrata,observed
NH,2013,32.8822,,YRBS_Socrata,observed
NH,2015,29.9457,,YRBS_Socrata,observed
NH,2017,29.6409,,YRBS_Socrata,observed
NH,2019,,,YRBS_Explorer,missing_no_state_data
NH,2021,,,YRBS_Explorer,missing_no_state_data
NH,2023,,,YRBS_Explorer,missing_no_state_data
NJ,2001,55.6757,,YRBS_Socrata,observed
NJ,2005,46.4585,,YRBS_Socrata,observed
NJ,2009,45.2433,,YRBS_Socrata,observed
NJ,2011,42.9043,,YRBS_Socrata,observed
NJ,2013,39.3141,,YRBS_Socrata,observed
NJ,2019,,,YRBS_Explorer,missing_no_state_data
NJ,2021,,,YRBS_Explorer,missing_no_state_data
NJ,2023,,,YRBS_Explorer,missing_no_state_data
NM,1991,59.9629,,YRBS_Socrata,observed
NM,2005,42.3214,,YRBS_Socrata,observed
NM,2007,43.207,,YRBS_Socrata,observed
NM,2009,40.495,,YRBS_Socrata,observed
NM,2011,36.9416,,YRBS_Socrata,observed
NM,2013,28.8685,,YRBS_Socrata,observed
NM,2015,26.0782,,YRBS_Socrata,observed
NM,2017,26.2472,10.8761,YRBS_Socrata,observed
NM,2019,,,YRBS_Explorer,missing_no_state_data
NM,2021,,,YRBS_Explorer,missing_no_state_data
NM,2023,,,YRBS_Explorer,missing_no_state_data
NV,1993,49.1707,,YRBS_Socrata,observed
NV,1995,50.9104,,YRBS_Socrata,observed
NV,1997,49.8858,,YRBS_Socrata,observed
NV,1999,52.961,,YRBS_Socrata,observed
NV,2001,47.5414,,YRBS_Socrata,observed
NV,2003,43.4201,,YRBS_Socrata,observed
NV,2005,41.4208,,YRBS_Socrata,observed
NV,2007,37.0175,,YRBS_Socrata,observed
NV,2009,38.6039,,YRBS_Socrata,observed
NV,2013,34.0083,,YRBS_Socrata,observed
NV,2015,33.4691,,YRBS_Socrata,observed
NV,2017,25.8065,11.1709,YRBS_Socrata,observed
NV,2019,,,YRBS_Explorer,missing_no_state_data
NV,2021,,,YRBS_Explorer,missing_no_state_data
NV,2023,,,YRBS_Explorer,missing_no_state_data
NY,1997,48.1607,,YRBS_Socrata,observed
NY,1999,49.6115,,YRBS_Socrata,observed
NY,2003,44.1905,,YRBS_Socrata,observed
NY,2005,43.3706,,YRBS_Socrata,observed
NY,2007,43.7178,,YRBS_Socrata,observed
NY,2009,41.4095,,YRBS_Socrata,observed
NY,2011,38.4097,,YRBS_Socrata,observed
NY,2013,32.5126,,YRBS_Socrata,observed
NY,2015,29.6861,,YRBS_Socrata,observed
NY,2017,27.1415,10.7876,YRBS_Socrata,observed
NY,2019,,,YRBS_Explorer,missing_no_location_code
NY,2021,,,YRBS_Explorer,missing_no_location_code
NY,2023,,,YRBS_Explorer,missing_no_location_code
OH,1993,46.4634,,YRBS_Socrata,observed
OH,1997,46.2763,,YRBS_Socrata,observed
OH,1999,55.4609,,YRBS_Socrata,observed
OH,2003,42.2394,,YRBS_Socrata,observed
OH,2005,42.3745,,YRBS_Socrata,observed
OH,2007,45.6732,,YRBS_Socrata,observed
OH,2011,38.0339,,YRBS_Socrata,observed
OH,2013,29.4696,,YRBS_Socrata,observed
OH,2019,,,YRBS_Explorer,missing_no_state_data
OH,2021,,,YRBS_Explorer,missing_no_state_data
OH,2023,,,YRBS_Explorer,missing_no_state_data
OK,2003,47.7573,,YRBS_Socrata,observed
OK,2005,40.535,,YRBS_Socrata,observed
OK,2007,43.1351,,YRBS_Socrata,observed
OK,2009,38.9712,,YRBS_Socrata,observed
OK,2011,38.3092,,YRBS_Socrata,observed
OK,2013,33.3921,,YRBS_Socrata,observed
OK,2015,27.3004,,YRBS_Socrata,observed
OK,2017,31.6264,14.2437,YRBS_Socrata,observed
OK,2019,,,YRBS_Explorer,missing_no_state_data
OK,2021,,,YRBS_Explorer,missing_no_state_data
OK,2023,,,YRBS_Explorer,missing_no_state_data
OR,2019,,,YRBS_Explorer,missing_no_location_code
OR,2021,,,YRBS_Explorer,missing_no_location_code
OR,2023,,,YRBS_Explorer,missing_no_location_code
PA,2009,38.3949,,YRBS_Socrata,observed
PA,2015,30.5953,,YRBS_Socrata,observed
PA,2017,31.0501,12.7864,YRBS_Socrata,observed
PA,2019,,,YRBS_Explorer,missing_no_state_data
PA,2021,,,YRBS_Explorer,missing_no_state_data
PA,2023,,,YRBS_Explorer,missing_no_state_data
RI,1997,52.1944,,YRBS_Socrata,observed
RI,2001,50.2767,,YRBS_Socrata,observed
RI,2003,44.5338,,YRBS_Socrata,observed
RI,2005,42.7329,,YRBS_Socrata,observed
RI,2007,42.9443,,YRBS_Socrata,observed
RI,2009,33.968,,YRBS_Socrata,observed
RI,2011,33.9837,,YRBS_Socrata,observed
RI,2013,30.9249,,YRBS_Socrata,observed
RI,2015,26.146,,YRBS_Socrata,observed
RI,2017,23.2326,11.1785,YRBS_Socrata,observed
RI,2019,,,YRBS_Explorer,missing_no_state_data
RI,2021,,,YRBS_Explorer,missing_no_state_data
RI,2023,,,YRBS_Explorer,missing_no_state_data
SC,1991,46.8956,,YRBS_Socrata,observed
SC,1993,44.2757,,YRBS_Socrata,observed
SC,1995,46.427,,YRBS_Socrata,observed
SC,1997,45.3171,,YRBS_Socrata,observed
SC,1999,45.3591,,YRBS_Socrata,observed
SC,2005,43.1879,,YRBS_Socrata,observed
SC,2007,36.805,,YRBS_Socrata,observed
SC,2009,35.1758,,YRBS_Socrata,observed
SC,2011,39.6678,,YRBS_Socrata,observed
SC,2013,28.9371,,YRBS_Socrata,observed
SC,2015,24.5684,,YRBS_Socrata,observed
SC,2017,25.3669,10.4017,YRBS_Socrata,observed
SC,2019,,,YRBS_Explorer,missing_no_state_data
SC,2021,,,YRBS_Explorer,missing_no_state_data
SC,2023,,,YRBS_Explorer,missing_no_state_data
SD,1991,57.9057,,YRBS_Socrata,observed
SD,1993,61.2143,,YRBS_Socrata,observed
SD,1995,53.9896,,YRBS_Socrata,observed
SD,1997,60.2165,,YRBS_Socrata,observed
SD,1999,59.1823,,YRBS_Socrata,observed
SD,2001,50.2022,,YRBS_Socrata,observed
SD,2003,50.1768,,YRBS_Socrata,observed
SD,2005,46.597,,YRBS_Socrata,observed
SD,2007,44.5206,,YRBS_Socrata,observed
SD,2009,40.0737,,YRBS_Socrata,observed
SD,2011,39.2471,,YRBS_Socrata,observed
SD,2013,30.8403,,YRBS_Socrata,observed
SD,2015,28.0073,,YRBS_Socrata,observed
SD,2019,,,YRBS_Explorer,missing_no_state_data
SD,2021,,,YRBS_Explorer,missing_no_state_data
SD,2023,,,YRBS_Explorer,missing_no_state_data
TN,1993,42.5585,,YRBS_Socrata,observed
TN,2003,41.1139,,YRBS_Socrata,observed
TN,2005,41.7515,,YRBS_Socrata,observed
TN,2007,36.7481,,YRBS_Socrata,observed
TN,2009,33.5026,,YRBS_Socrata,observed
TN,2011,33.2552,,YRBS_Socrata,observed
TN,2013,28.3811,,YRBS_Socrata,observed
TN,2017,25.8489,11.0298,YRBS_Socrata,observed
TN,2019,,,YRBS_Explorer,missing_no_state_data
TN,2021,,,YRBS_Explorer,missing_no_state_data
TN,2023,,,YRBS_Explorer,missing_no_state_data
TX,2001,48.6321,,YRBS_Socrata,observed
TX,2005,47.2659,,YRBS_Socrata,observed
TX,2007,48.3183,,YRBS_Socrata,observed
TX,2009,44.8405,,YRBS_Socrata,observed
TX,2011,39.7418,,YRBS_Socrata,observed
TX,2013,36.0934,,YRBS_Socrata,observed
